model,case,group,n,nmse,nmse_db,median_db,energy_weighted_db
Hold,csi_4,los,8656,0.26357163585023774,-5.791013279798532,-12.06489305693092,-0.39635366588415105
Linear,csi_4,los,8656,18.344517338958255,12.63506289556963,-7.802551410455704,4.903713212774042
W,csi_4,nlos,1700,35.93376541137695,15.55502728245582,0.17220956107875224,0.14083578563544255
Hold,csi_4,nlos,1700,180.29732903682776,22.559892930387683,3.0091847926061104,0.904248029274314
Linear,csi_4,nlos,1700,6573.902761780559,38.17823275904039,8.699704289774523,12.339820439637354
W,csi_4,switch_window,1616,36.4333610534668,15.614992376608663,-0.2738772187605218,-0.03497546479750871
Hold,csi_4,switch_window,1616,161.23280806880115,22.074534178257533,-0.08198682852335368,-0.03275337825415132
Linear,csi_4,switch_window,1616,2417.606623235078,33.83385636782552,2.3393640449733,2.665591805410783
W,csi_8,all,10356,5.829421043395996,7.65625424374126,-7.2091093613624295,-0.3288838377844806
Hold,csi_8,all,10356,29.81720090507504,14.744668715603943,-9.804484918090257,-0.2733773440472277
Linear,csi_8,all,10356,10061.438450126565,40.0266007478491,-2.2821213733594607,9.534995086397686
W,csi_8,near,5184,0.5194728970527649,-2.844371063695238,-6.617848993276124,-3.985458650413634
Hold,csi_8,near,5184,1.335693201480686,1.2570671547109022,-7.275039153797761,-3.3750906045210076
Linear,csi_8,near,5184,202.64791602680202,23.067421419404607,-1.551368780393359,16.29090984791508
W,csi_8,far,5172,11.151688575744629,10.47340632729891,-7.8107669559325785,-0.16155121728423147
Hold,csi_8,far,5172,58.3647909931325,17.66150934634687,-13.070930331448364,-0.12301312126875463
Linear,csi_8,far,5172,19943.103208203356,42.99792736791076,-3.3488477394551412,8.239071765200798
W,csi_8,normal,2592,0.23379041254520416,-6.311733026869582,-7.815143095678067,-6.234988212639768
Hold,csi_8,normal,2592,0.22816611350251984,-6.417488551485335,-11.111363836335503,-6.339269273250646
Linear,csi_8,normal,2592,51.034996929635184,17.078680929789574,-3.4807916981215143,17.07031544392946
W,csi_8,maneuver,2592,0.12823335826396942,-8.919989839789768,-9.603370572320383,-8.832944728405531
Hold,csi_8,maneuver,2592,0.08847604588271324,-10.531742948288327,-15.520187065156218,-10.352253184638087
Linear,csi_8,maneuver,2592,13.869813260447089,11.420706138848686,-9.0772249005814,11.229029396225737
W,csi_8,occlusion,5172,11.490936279296875,10.603554163615668,-3.0289012691505195,-0.1232369377768518
Hold,csi_8,occlusion,5172,59.54489483678087,17.748445325818942,-4.474116342003139,-0.06111235767923505
Linear,csi_8,occlusion,5172,20113.69360431129,43.03491830152939,1.8089911573540687,8.81479071524407
W,csi_8,far_maneuver,1296,0.10041707754135132,-9.981924221384647,-10.333354350728051,-9.973075122253496
Hold,csi_8,far_maneuver,1296,0.02156674048177718,-16.66215487616326,-19.318833951908786,-16.747112625025522
Linear,csi_8,far_maneuver,1296,18.30295981435826,12.625213261841246,-10.938518314442875,12.324518702752185
